rubric_id,track,section,points,requirement,proof,deliverables,owner,test,validation_command,evidence_path,evidence_type,acceptance_id,source_file,source_row_index,source_digest,artifact_repo,artifact_path,behavioral_assertion
LLM-observability-t-ng-t-cho-traces,LLM,"Observability",1,"Tương tự cho traces","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard","Tương tự cho traces",platform_operator,"pytest tests/phase2 -k 'LLM-observability-t-ng-t-cho-traces'","pytest tests/phase2/requirements/test_llm_ac_15_observability.py -k 'LLM-observability-t-ng-t-cho-traces'",docs/phase2/evidence/llm/LLM-observability-t-ng-t-cho-traces.md,design_only,"LLM-AC-15-OBSERVABILITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,52,9eb6868cb9aa129d991c5dc4189954906ef47ecfc18b9cca4abf2ffbd76780ec,gitops,platform/observability/loki-otel-values.yaml,"yaml_mapping_contains:values"
LLM-observability-web-api-metrics,LLM,"Observability",1,"Observability — Web API metrics","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard","Web API monitoring metrics such as req/s, num. of reqs, num. of failures, etc.",platform_operator,"pytest tests/phase2 -k 'LLM-observability-web-api-metrics'","pytest tests/phase2/requirements/test_llm_ac_15_observability.py -k 'LLM-observability-web-api-metrics'",docs/phase2/evidence/llm/LLM-observability-web-api-metrics.md,design_only,"LLM-AC-15-OBSERVABILITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,49,0a09f15d305b2e617cfee6f78eddfaf0add0abce46c94b172ec1216790aa7370,gitops,platform/observability/prometheus-values.yaml,"yaml_mapping_contains:prometheus"
LLM-rag-m-b-o-data-governance-cho-pipe,LLM,"RAG",2,"Đảm bảo data governance cho pipeline (tương tự mini-coursework)","Capture màn hình thể hiện pipeline đã chạy thành công, với lineage trên DataHub","Đảm bảo data governance cho pipeline (tương tự mini-coursework)",data_engineer,"pytest tests/phase2 -k 'LLM-rag-m-b-o-data-governance-cho-pipe'","pytest tests/phase2/requirements/test_llm_ac_04_rag.py -k 'LLM-rag-m-b-o-data-governance-cho-pipe'",docs/phase2/evidence/llm/LLM-rag-m-b-o-data-governance-cho-pipe.md,executed,"LLM-AC-04-RAG",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,8,a457d86c15155eac03b2ca80fb7de565df07091a1e97be84266edaa16dd43cf4,source,src/llm/data_governance.py,"python_ast_symbol:enforce_chunk_governance"
LLM-rag-rag-data-pipeline,LLM,"RAG",2,"RAG — RAG Data Pipeline","Capture màn hình thể hiện pipeline đã chạy thành công, với lineage trên DataHub","Build 1 Airflow pipeline với ít nhất các step sau: kéo dữ liệu từ text => chia chunk => lưu embedding vector cho các chunk vào feature store thông qua Feast",data_engineer,"pytest tests/phase2 -k 'LLM-rag-rag-data-pipeline'","pytest tests/phase2/requirements/test_llm_ac_04_rag.py -k 'LLM-rag-rag-data-pipeline'",docs/phase2/evidence/llm/LLM-rag-rag-data-pipeline.md,executed,"LLM-AC-04-RAG",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,7,9278f7c8e7902a73efb130b0b3c5c01d56b447ed5ed34dc4032bb4794a63e85a,source,src/llm/rag_pipeline.py,"python_ast_symbol:RagIngestionPipeline"
LLM-registry-for-agent-theo-t-registry-for-agent-theo-tutori,LLM,"Deploy registry for agent theo tutorial này",2,"Deploy registry for agent theo tutorial này","Capture màn hình thể hiện registry đã được deploy","Capture màn hình thể hiện registry đã được deploy",platform_operator,"pytest tests/phase2 -k 'LLM-registry-for-agent-theo-t-registry-for-agent-theo-tutori'","pytest tests/phase2/requirements/test_llm_ac_03_registry.py -k 'LLM-registry-for-agent-theo-t-registry-for-agent-theo-tutori'",docs/phase2/evidence/llm/LLM-registry-for-agent-theo-t-registry-for-agent-theo-tutori.md,executed,"LLM-AC-03-REGISTRY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,6,f189fc33cee67378d0f205abf89e5479092359132b5dcc65f5c2ddc56c8e66bd,gitops,platform/agents/agentregistry.yaml,"text_contains:agentregistry"
LLM-repository-design-clean-code-clean-repo-demonstr,LLM,"Repository Design",2,"Repository Design — Clean Code + clean repo + demonstrate the use of Design Pattern","Capture màn hình thể hiện Design Pattern đã được sử dụng trong code","Capture màn hình thể hiện Design Pattern đã được sử dụng trong code",platform_operator,"pytest tests/phase2 -k 'LLM-repository-design-clean-code-clean-repo-demonstr'","pytest tests/phase2/requirements/test_llm_ac_18_repository.py -k 'LLM-repository-design-clean-code-clean-repo-demonstr'",docs/phase2/evidence/llm/LLM-repository-design-clean-code-clean-repo-demonstr.md,executed,"LLM-AC-18-REPOSITORY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,58,53e669957b98ec00c5b639b981ef66662d534c915f79f1a1407e034c3b240940,source,src/llm/contracts.py,"python_ast_contains:BoundedAgentOrchestrationService"
LLM-routing-gateway-authentication-cho-ui-test-age,LLM,"Routing & Gateway (NGINX Ingress Controller)",2,"Setup authentication cho UI test agent ở trên","Capture màn hình thể hiện từng setup đã thành công","Setup authentication cho UI test agent ở trên",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-authentication-cho-ui-test-age'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-authentication-cho-ui-test-age'",docs/phase2/evidence/llm/LLM-routing-gateway-authentication-cho-ui-test-age.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,45,c9f3f5007b0c3a8d4df4df96d2b0cdf5c6026fa6edb3c3df592881b5d5392e7e,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-routing-gateway-c-c-service-c-n-c-hide-ng-sau-,LLM,"Routing & Gateway (NGINX Ingress Controller)",2,"Routing & Gateway (NGINX Ingress Controller) — Các service cần được hide đằng sau gateway","Capture màn hình thể hiện từng setup đã thành công","Service để coi metric (ví dụ Grafana)",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-c-c-service-c-n-c-hide-ng-sau-'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-c-c-service-c-n-c-hide-ng-sau-'",docs/phase2/evidence/llm/LLM-routing-gateway-c-c-service-c-n-c-hide-ng-sau-.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,40,92b3184f3ed04680660512fa5fadb0289d98bfb0fbf8ab05703686889c3b8131,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-routing-gateway-l-m-c-i-n-y-cho-web-api-k-o-d-,LLM,"Routing & Gateway (NGINX Ingress Controller)",1,"Làm cái này cho Web API kéo dữ liệu. Mọi người có thể tham khảo 2 đồ án sau: cái này và cái này","Capture màn hình thể hiện từng setup đã thành công","Làm cái này cho Web API kéo dữ liệu. Mọi người có thể tham khảo 2 đồ án sau: cái này và cái này",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-l-m-c-i-n-y-cho-web-api-k-o-d-'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-l-m-c-i-n-y-cho-web-api-k-o-d-'",docs/phase2/evidence/llm/LLM-routing-gateway-l-m-c-i-n-y-cho-web-api-k-o-d-.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,46,cf91b0be70db8331044bc0dfe16ab79e3611589069e71961fbd6c75c65f3936d,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-routing-gateway-service-coi-log,LLM,"Routing & Gateway (NGINX Ingress Controller)",2,"Service để coi log (ví dụ Kibana)","Capture màn hình thể hiện từng setup đã thành công","Service để coi log (ví dụ Kibana)",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-service-coi-log'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-service-coi-log'",docs/phase2/evidence/llm/LLM-routing-gateway-service-coi-log.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,41,9b883fdeb5671356c0c73cdbede11359e8bb3d14bc828ce2ca8e1d9323f54747,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-routing-gateway-service-coi-trace,LLM,"Routing & Gateway (NGINX Ingress Controller)",2,"Service để coi trace (ví dụ Jaeger)","Capture màn hình thể hiện từng setup đã thành công","Service để coi trace (ví dụ Jaeger)",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-service-coi-trace'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-service-coi-trace'",docs/phase2/evidence/llm/LLM-routing-gateway-service-coi-trace.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,42,8d6c6687cbb047df9d4661e5f41e65e82d46c5a708a9fb38f3a927af86ebce18,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-routing-gateway-ui-cho-agent-registry,LLM,"Routing & Gateway (NGINX Ingress Controller)",2,"UI cho agent registry","Capture màn hình thể hiện từng setup đã thành công","UI cho agent registry",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-ui-cho-agent-registry'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-ui-cho-agent-registry'",docs/phase2/evidence/llm/LLM-routing-gateway-ui-cho-agent-registry.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,44,c04ed1852b21c84c6c77086121f1dcc9cdd83c41303c2ee856b8226d9e8cc204,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-routing-gateway-ui-test-agent,LLM,"Routing & Gateway (NGINX Ingress Controller)",2,"UI để test agent (xem tại đây)","Capture màn hình thể hiện từng setup đã thành công","UI để test agent (xem tại đây)",platform_operator,"pytest tests/phase2 -k 'LLM-routing-gateway-ui-test-agent'","pytest tests/phase2/requirements/test_llm_ac_13_routing.py -k 'LLM-routing-gateway-ui-test-agent'",docs/phase2/evidence/llm/LLM-routing-gateway-ui-test-agent.md,design_only,"LLM-AC-13-ROUTING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,43,ab4b5a0d98e3d661dbbf0f49b199af2f52d0a951656dea3b703a2ae54e885142,gitops,platform/ingress/f5-nginx-values.yaml,"yaml_mapping_contains:values"
LLM-security-centralize-secret-management,LLM,"Security",1,"Security — Centralize secret management","Capture màn hình thể hiện cách mọi người thực hiện centrailize secret management","Centralize secret management via Hashi Corp Vault (or similar tools) so it will be used across the whole organization.",platform_operator,"pytest tests/phase2 -k 'LLM-security-centralize-secret-management'","pytest tests/phase2/requirements/test_llm_ac_17_security.py -k 'LLM-security-centralize-secret-management'",docs/phase2/evidence/llm/LLM-security-centralize-secret-management.md,executed,"LLM-AC-17-SECURITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,57,ee052d3d30e4cf5194e9f61dcef9bc36fd37688304d687177429165ec3a40ebc,gitops,platform/security/sealed-secrets.yaml,"text_contains:secrets"
LLM-validation-verification-c-s-d-ng-k-thu-t-equivalence-p,LLM,"Validation & Verification",2,"Có sử dụng kỹ thuật equivalence partitioning vs boundary value analysis khi thiết kế test cases để parametrize.; (Cái này chưa được dạy, nhưng đơn giản lắm, cả nhà coi ở đây)","Capture màn hình để thể hiện đã sử dụng các kỹ thuật này","Có sử dụng kỹ thuật equivalence partitioning vs boundary value analysis khi thiết kế test cases để parametrize.; (Cái này chưa được dạy, nhưng đơn giản lắm, cả nhà coi ở đây)",llm_engineer,"pytest tests/phase2 -k 'LLM-validation-verification-c-s-d-ng-k-thu-t-equivalence-p'","pytest tests/phase2/requirements/test_llm_ac_10_validation.py -k 'LLM-validation-verification-c-s-d-ng-k-thu-t-equivalence-p'",docs/phase2/evidence/llm/LLM-validation-verification-c-s-d-ng-k-thu-t-equivalence-p.md,executed,"LLM-AC-10-VALIDATION",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,27,eaabaf83d8baba3c39d7172fd16a332fbb156b8dffaa4f2ec05cdb9434ee2a81,source,tests/phase2/requirements/test_llm_ac_10_validation.py,"python_ast_contains:test_requirement_evidence_contract"
LLM-validation-verification-c-s-d-ng-mutation-testing-nh-g,LLM,"Validation & Verification",2,"Có sử dụng mutation testing để đánh giá hiệu quả của các test (cái này đã dạy ở lớp rồi nha cả nhà, là cái https://mutmut.readthedocs.io/). Note that you mutate only code changed, not the whole code base everytime you push your commit! Mutation score > 80%.","Capture màn hình để thể hiện đã sử dụng các kỹ thuật này","Có sử dụng mutation testing để đánh giá hiệu quả của các test (cái này đã dạy ở lớp rồi nha cả nhà, là cái https://mutmut.readthedocs.io/). Note that you mutate only code changed, not the whole code base everytime you push your commit! Mutation score > 80%.",llm_engineer,"pytest tests/phase2 -k 'LLM-validation-verification-c-s-d-ng-mutation-testing-nh-g'","pytest tests/phase2/requirements/test_llm_ac_10_validation.py -k 'LLM-validation-verification-c-s-d-ng-mutation-testing-nh-g'",docs/phase2/evidence/llm/LLM-validation-verification-c-s-d-ng-mutation-testing-nh-g.md,executed,"LLM-AC-10-VALIDATION",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,28,edfb4fa773df04a03dfc03803eea17a6f0fbf19f520e260c4cc75cc4f3823875,source,tests/phase2/requirements/test_llm_ac_10_validation.py,"python_ast_contains:test_requirement_evidence_contract"
LLM-validation-verification-idempotency-testing-s-d-ng-pro,LLM,"Validation & Verification",2,"Idempotency testing sử dụng property-based testing (chuyên để tìm ra cái test case có thể tạo ra bug), ví dụ, để kiểm tra xem model prediction có generate ra kết quả consistent sau nhiều lần chạy không. You can use the library hypothesis for property-based testing, combine with crosshair backend to find bugs easier.","Capture màn hình để thể hiện đã sử dụng các kỹ thuật này","Idempotency testing sử dụng property-based testing (chuyên để tìm ra cái test case có thể tạo ra bug), ví dụ, để kiểm tra xem model prediction có generate ra kết quả consistent sau nhiều lần chạy không. You can use the library hypothesis for property-based testing, combine with crosshair backend to find bugs easier.",llm_engineer,"pytest tests/phase2 -k 'LLM-validation-verification-idempotency-testing-s-d-ng-pro'","pytest tests/phase2/requirements/test_llm_ac_10_validation.py -k 'LLM-validation-verification-idempotency-testing-s-d-ng-pro'",docs/phase2/evidence/llm/LLM-validation-verification-idempotency-testing-s-d-ng-pro.md,executed,"LLM-AC-10-VALIDATION",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,29,b9e1af213ebfc637ed14923ca608391a628a52dd19f4e436d90287ae2d6c83bd,source,tests/phase2/requirements/test_llm_ac_10_validation.py,"python_ast_contains:test_requirement_evidence_contract"
LLM-validation-verification-load-test-the-web-api,LLM,"Validation & Verification",2,"Load test the Web API (cái Web API kéo dữ liệu) to understand throughput (req/s) and latency; (generate a html file with locust as SLA)","Capture màn hình HTML output","Load test the Web API (cái Web API kéo dữ liệu) to understand throughput (req/s) and latency; (generate a html file with locust as SLA)",data_engineer,"pytest tests/phase2 -k 'LLM-validation-verification-load-test-the-web-api'","pytest tests/phase2/requirements/test_llm_ac_10_validation.py -k 'LLM-validation-verification-load-test-the-web-api'",docs/phase2/evidence/llm/LLM-validation-verification-load-test-the-web-api.md,executed,"LLM-AC-10-VALIDATION",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,30,ff8e6eec954a28eeeff91c2f1d659ebc90a3120fd143d99cb74d43609948a778,source,tests/phase2/requirements/test_llm_ac_10_validation.py,"python_ast_contains:test_requirement_evidence_contract"
LLM-validation-verification-validation-verification,LLM,"Validation & Verification",1,"Validation & Verification","Capture màn hình đã chạy test với test coverage thoả mãn yêu cầu","Unit test với Test Coverage > 90%; (với proof bằng screenshot thể hiện khả năng test Web API, và sử dụng fixture, mock)",llm_engineer,"pytest tests/phase2 -k 'LLM-validation-verification-validation-verification'","pytest tests/phase2/requirements/test_llm_ac_10_validation.py -k 'LLM-validation-verification-validation-verification'",docs/phase2/evidence/llm/LLM-validation-verification-validation-verification.md,executed,"LLM-AC-10-VALIDATION",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,26,1848c83d92ffd83c787039b7e82123aa3b741ce7c9c58fbcfd23243d61f6b5fa,source,tests/phase2/requirements/test_llm_ac_10_validation.py,"python_ast_contains:test_requirement_evidence_contract"
LLM-web-api-cho-real-time-dri-1-agent-s-d-ng-mcp-tool-tr-n-v,LLM,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên)",2,"Deploy 1 Agent sử dụng MCP tool ở trên với multi-replica và auto-scale sử dụng cái này","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Deploy 1 Agent sử dụng MCP tool ở trên với multi-replica và auto-scale sử dụng cái này",llm_engineer,"pytest tests/phase2 -k 'LLM-web-api-cho-real-time-dri-1-agent-s-d-ng-mcp-tool-tr-n-v'","pytest tests/phase2/requirements/test_llm_ac_06_drift_mcp.py -k 'LLM-web-api-cho-real-time-dri-1-agent-s-d-ng-mcp-tool-tr-n-v'",docs/phase2/evidence/llm/LLM-web-api-cho-real-time-dri-1-agent-s-d-ng-mcp-tool-tr-n-v.md,executed,"LLM-AC-06-DRIFT-MCP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,18,74d8fd2cb18123c9dcd529a3b1a723792f66a9617d6d77523748be5aa36f87a0,source,src/agents/drift_agent.py,"python_ast_contains:drift"
LLM-web-api-cho-real-time-dri-agent-ch-y-trong-sandbox-m-b-o,LLM,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên)",1,"Configure Agent chạy trong Sandbox để đảm bảo security","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Configure Agent chạy trong Sandbox để đảm bảo security",llm_engineer,"pytest tests/phase2 -k 'LLM-web-api-cho-real-time-dri-agent-ch-y-trong-sandbox-m-b-o'","pytest tests/phase2/requirements/test_llm_ac_06_drift_mcp.py -k 'LLM-web-api-cho-real-time-dri-agent-ch-y-trong-sandbox-m-b-o'",docs/phase2/evidence/llm/LLM-web-api-cho-real-time-dri-agent-ch-y-trong-sandbox-m-b-o.md,executed,"LLM-AC-06-DRIFT-MCP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,19,38d9b0b0026a67a468f32926aea12261c7ffa38da43e446db34e8d67c3d4dd2c,gitops,platform/agents/agent-sandbox.yaml,"text_contains:sandbox"
LLM-web-api-cho-real-time-dri-c-s-d-ng-fastapi-data-validati,LLM,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên)",1,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên) — Có sử dụng FastAPI + data validation (với pydantic)","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Có sử dụng FastAPI + data validation (với pydantic) + healthcheck for k8s",data_engineer,"pytest tests/phase2 -k 'LLM-web-api-cho-real-time-dri-c-s-d-ng-fastapi-data-validati'","pytest tests/phase2/requirements/test_llm_ac_06_drift_mcp.py -k 'LLM-web-api-cho-real-time-dri-c-s-d-ng-fastapi-data-validati'",docs/phase2/evidence/llm/LLM-web-api-cho-real-time-dri-c-s-d-ng-fastapi-data-validati.md,executed,"LLM-AC-06-DRIFT-MCP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,15,8b237ebf4865566a80ebb4296bf71b2a9cc71b76529c40b68810009f4aa1d038,source,apps/drift-mcp/app/main.py,"python_ast_contains:app"
LLM-web-api-cho-real-time-dri-in-the-form-of-mcp-tool-to-k8s,LLM,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên)",2,"Deploy in the form of MCP tool to k8s with helm + rollingupdate + auto fallback (see here); Remember, your MCP tool is not like normal API deployment, check it our how to deploy here.","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Deploy in the form of MCP tool to k8s with helm + rollingupdate + auto fallback (see here); Remember, your MCP tool is not like normal API deployment, check it our how to deploy here.",platform_operator,"pytest tests/phase2 -k 'LLM-web-api-cho-real-time-dri-in-the-form-of-mcp-tool-to-k8s'","pytest tests/phase2/requirements/test_llm_ac_06_drift_mcp.py -k 'LLM-web-api-cho-real-time-dri-in-the-form-of-mcp-tool-to-k8s'",docs/phase2/evidence/llm/LLM-web-api-cho-real-time-dri-in-the-form-of-mcp-tool-to-k8s.md,executed,"LLM-AC-06-DRIFT-MCP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,17,52a535cb054c10d1ad7cadaea65dfb8c30c27b307a629215c41a3d44b6f51e7d,gitops,charts/drift-mcp/Chart.yaml,"yaml_mapping_contains:drift"
LLM-web-api-cho-real-time-dri-publish-agent-tr-n-l-n-registr,LLM,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên)",2,"Publish Agent ở trên lên registry đã deploy để đảm bảo governance","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Publish Agent ở trên lên registry đã deploy để đảm bảo governance",llm_engineer,"pytest tests/phase2 -k 'LLM-web-api-cho-real-time-dri-publish-agent-tr-n-l-n-registr'","pytest tests/phase2/requirements/test_llm_ac_06_drift_mcp.py -k 'LLM-web-api-cho-real-time-dri-publish-agent-tr-n-l-n-registr'",docs/phase2/evidence/llm/LLM-web-api-cho-real-time-dri-publish-agent-tr-n-l-n-registr.md,executed,"LLM-AC-06-DRIFT-MCP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,20,6aaa61f085bb663877af4d7c9c1166deb71e8354f931f0b45cd9b64f441cbdc9,gitops,platform/agents/agentregistry.yaml,"text_contains:agentregistry"
LLM-web-api-cho-real-time-dri-s-d-ng-async,LLM,"Web API cho Real-time Drift Detection (để làm MCP tool, tương tự như trên)",1,"Sử dụng async","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Sử dụng async",data_engineer,"pytest tests/phase2 -k 'LLM-web-api-cho-real-time-dri-s-d-ng-async'","pytest tests/phase2/requirements/test_llm_ac_06_drift_mcp.py -k 'LLM-web-api-cho-real-time-dri-s-d-ng-async'",docs/phase2/evidence/llm/LLM-web-api-cho-real-time-dri-s-d-ng-async.md,executed,"LLM-AC-06-DRIFT-MCP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,16,e77b827282d9a5bec8500684bd6640a67dcc107e60bb48649bff98535029ee3a,source,apps/drift-mcp/app/main.py,"python_ast_contains:app"
LLM-web-api-k-o-d-li-u-user-1-agent-s-d-ng-mcp-tool-tr-n-v,LLM,"Web API kéo dữ liệu user (đã lưu thông qua feature pipeline) và chunk (đã được lưu thông qua RAG pipeline); (Web API này sẽ dùng để kéo dữ liệu từ Online Feature store dựa trên ID (user_id, chunk_id, etc.))",2,"Deploy 1 Agent sử dụng MCP tool ở trên với multi-replica và auto-scale sử dụng cái này","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Deploy 1 Agent sử dụng MCP tool ở trên với multi-replica và auto-scale sử dụng cái này",llm_engineer,"pytest tests/phase2 -k 'LLM-web-api-k-o-d-li-u-user-1-agent-s-d-ng-mcp-tool-tr-n-v'","pytest tests/phase2/requirements/test_llm_ac_05_feature_rag_api.py -k 'LLM-web-api-k-o-d-li-u-user-1-agent-s-d-ng-mcp-tool-tr-n-v'",docs/phase2/evidence/llm/LLM-web-api-k-o-d-li-u-user-1-agent-s-d-ng-mcp-tool-tr-n-v.md,executed,"LLM-AC-05-FEATURE-RAG-API",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,12,74d8fd2cb18123c9dcd529a3b1a723792f66a9617d6d77523748be5aa36f87a0,source,src/agents/feature_agent.py,"python_ast_contains:feature"
LLM-web-api-k-o-d-li-u-user-agent-ch-y-trong-sandbox-m-b-o,LLM,"Web API kéo dữ liệu user (đã lưu thông qua feature pipeline) và chunk (đã được lưu thông qua RAG pipeline); (Web API này sẽ dùng để kéo dữ liệu từ Online Feature store dựa trên ID (user_id, chunk_id, etc.))",1,"Configure Agent chạy trong Sandbox để đảm bảo security","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Configure Agent chạy trong Sandbox để đảm bảo security",llm_engineer,"pytest tests/phase2 -k 'LLM-web-api-k-o-d-li-u-user-agent-ch-y-trong-sandbox-m-b-o'","pytest tests/phase2/requirements/test_llm_ac_05_feature_rag_api.py -k 'LLM-web-api-k-o-d-li-u-user-agent-ch-y-trong-sandbox-m-b-o'",docs/phase2/evidence/llm/LLM-web-api-k-o-d-li-u-user-agent-ch-y-trong-sandbox-m-b-o.md,executed,"LLM-AC-05-FEATURE-RAG-API",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,13,38d9b0b0026a67a468f32926aea12261c7ffa38da43e446db34e8d67c3d4dd2c,gitops,platform/agents/agent-sandbox.yaml,"text_contains:sandbox"
LLM-web-api-k-o-d-li-u-user-c-s-d-ng-fastapi-data-validati,LLM,"Web API kéo dữ liệu user (đã lưu thông qua feature pipeline) và chunk (đã được lưu thông qua RAG pipeline); (Web API này sẽ dùng để kéo dữ liệu từ Online Feature store dựa trên ID (user_id, chunk_id, etc.))",1,"Web API kéo dữ liệu user (đã lưu thông qua feature pipeline) và chunk (đã được lưu thông qua RAG pipeline); (Web API này sẽ dùng để kéo dữ liệu từ Online Feature store dựa trên ID (user_id, chunk_id, etc.)) — Có sử dụng FastAPI + data validation (với pydantic)","Demonstrate Agent có trên registry, được deploy với multi-replica, giới hạn quyền thông qua Sandbox và màn hình UI chat với Agent","Có sử dụng FastAPI + data validation (với pydantic) + healthcheck for k8s",data_engineer,"pytest tests/phase2 -k 'LLM-web-api-k-o-d-li-u-user-c-s-d-ng-fastapi-data-validati'","pytest tests/phase2/requirements/test_llm_ac_05_feature_rag_api.py -k 'LLM-web-api-k-o-d-li-u-user-c-s-d-ng-fastapi-data-validati'",docs/phase2/evidence/llm/LLM-web-api-k-o-d-li-u-user-c-s-d-ng-fastapi-data-validati.md,executed,"LLM-AC-05-FEATURE-RAG-API",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,9,2a3724a21f1d14cb53389d144e1872142c90d96fb875a1ae15b76ac246ca224f,source,apps/feature-mcp/app/main.py,"python_ast_contains:app"
